宋江	3857	6.870364719583405	2.2623413352001736	0.2578616352201258
李逵	1141	8.044394119358454	2.1844429852200893	0.7857142857142857
武松	1071	8.361943773735241	2.3116768630177953	0.31788079470198677
如何	929	7.022367813028454	4.101366787337744	0.25
那里	869	4.321928094887363	3.249036818437854	0.5675675675675675
林冲	789	8.643856189774725	2.6301927360987407	0.16393442622950818
军马	773	4.700439718141093	4.0351385022029	0.2777777777777778
哥哥	770	7.321928094887362	3.9724456380790465	0.22916666666666666
头领	713	6.569855608330948	3.9012495661134925	0.11210317460317461
太尉	679	8.62935662007961	3.438161426283713	0.696319018404908
众人	666	4.523561956057013	3.0655481263361684	0.38461538461538464
戴宗	627	9.590587049915035	2.168741388922706	0.41414141414141414
听得	586	5.392317422778761	4.523661738796154	0.3249097472924188
出来	585	3.5849625007211565	2.589130788272665	0.3371886120996441
小人	570	3.5849625007211565	2.1039485415449146	0.4420654911838791
梁山泊	569	9.65105169117893	3.681936039623457	0.25773195876288657
兄弟	568	7.6653359171851765	3.445904599996534	0.3103448275862069
今日	525	6.149747119504682	2.266088700473971	0.3086913086913087
燕青	505	8.7714894695006	2.0907328330092683	0.1575
先锋	488	8.430452551665532	3.6833571991282876	0.39325842696629215
人马	465	2.807354922057604	3.2800354951592015	0.2040302267002519
花荣	428	9.287712379549449	2.4300712615263755	0.3017429193899782
将军	416	3.700439718141092	4.784372461468319	0.335423197492163
如此	414	5.459431618637297	4.24830230919646	0.2985781990521327
王庆	402	7.813781191217037	3.026126841572708	0.3826086956521739
我们	368	5.882643049361842	2.6964813449209815	0.6072607260726073
杨志	365	9.276124405274238	2.3278988442594764	0.4263803680981595
柴进	364	8.330916878114618	2.1918192977957034	0.255
鲁智深	353	9.49585502688717	2.648858277218051	0.18
一面	345	3.1699250014423126	2.9005033024134654	0.4227941176470588
呼延灼	339	10.491853096329676	2.4275803103219067	0.23076923076923078
来到	330	2.584962500721156	4.121637632616942	0.1834975369458128
山寨	321	5.700439718141093	3.731405848133057	0.26141885325558795
秦明	316	8.74819284958946	2.1289785466293942	0.3693570451436389
弟兄	306	6.768184324776926	4.008318934823112	0.11904761904761904
天子	302	4.807354922057604	3.2433919992769633	0.36809815950920244
史进	300	8.330916878114618	2.104676942463038	0.20812182741116753
公孙胜	299	8.543031820255239	2.8668269989544646	0.35784313725490197
兄长	297	7.348728154231078	3.062240903703068	0.3103448275862069
只得	291	3.0	2.6806376325819192	0.4714086471408647
关胜	284	7.857980995127572	2.871884272794531	0.2767676767676768
一声	280	4.247927513443585	2.613126825375368	0.5045592705167173
一齐	278	4.857980995127573	3.117820856978359	0.2773722627737226
张清	277	6.870364719583405	2.7813720748102417	0.23553719008264462
军士	276	5.672425341971496	4.701365954985922	0.3339805825242718
里面	276	3.8073549220576037	3.8643341970815945	0.10247747747747747
知府	273	6.584962500721156	2.877004033238607	0.25276752767527677
商议	271	10.166163082646113	2.9430572087690283	0.39250493096646943
城中	268	4.906890595608519	3.906885183545783	0.1840607210626186
李俊	268	6.303780748177103	2.805647602883434	0.2826086956521739
庄客	267	7.994353436858858	3.1025564207454503	0.3218390804597701
前面	266	4.807354922057604	2.4866930087188646	0.4227941176470588
东京	264	7.857980995127572	3.1935821298667917	0.1383399209486166
小弟	262	5.321928094887363	2.1452456937930577	0.5595238095238095
怎地	256	6.988684686772166	4.247623097985151	0.4125286478227655
那厮	256	5.247927513443585	4.915875015970413	0.3
下山	251	3.3219280948873626	2.1930037918595886	0.26133743274404303
前来	246	2.321928094887362	4.49811322670689	0.4691358024691358
许多	241	8.714245517666123	3.942395493965602	0.22626788036410922
小喽啰	240	7.693486957499325	3.38582428156887	0.3333333333333333
一条	237	4.584962500721157	4.715893869003823	0.5
大官人	236	6.08746284125034	2.983973122747373	0.4420654911838791
回来	234	2.807354922057604	2.362982762892363	0.46405228758169936
洒家	232	8.20945336562895	2.7811957226266406	0.39510204081632655
兵马	231	3.9068905956085187	3.7951734821756005	0.2265625
众将	230	4.08746284125034	3.9185317054704236	0.38461538461538464
宋公明	229	7.03342300153745	4.10153709442611	0.3693570451436389
只顾	228	6.266786540694902	3.521288589796149	0.34177215189873417
收拾	228	9.949826710759112	4.184223500221416	0.17307692307692307
宋江等	225	4.321928094887363	2.8986669637654043	0.24206349206349206
起身	219	5.392317422778761	3.6388469067898948	0.23404255319148937
银子	216	6.044394119358453	2.308206673027121	0.5700483091787439
时迁	215	7.199672344836364	2.203896670654286	0.23989569752281617
高太尉	215	7.554588851677638	2.1575877691946195	0.5753768844221105
慌忙	214	9.67771964164101	3.647810835419691	0.2903225806451613
英雄	214	8.813781191217037	4.173602117940205	0.3656716417910448
朝廷	213	9.612868497291041	3.976923594969806	0.4817813765182186
众头领	212	6.6582114827517955	2.709918744656933	0.22613065326633167
你们	211	5.247927513443585	2.4800883915842133	0.47058823529411764
看见	211	3.5849625007211565	4.2286610903093305	0.35208711433756806
分付	210	8.159871336778389	4.312540597542215	0.37349397590361444
军师	209	4.643856189774724	3.233599946647515	0.3339805825242718
向前	207	6.6293566200796095	3.789151507520072	0.2777777777777778
小二	207	4.392317422778761	2.302669823159241	0.12872628726287264
徐宁	206	10.922584402713664	2.3507551733240484	0.35833333333333334
下马	204	2.584962500721156	2.3501774067613868	0.26133743274404303
枢密	200	10.828136484194108	3.5137573443860757	0.2222222222222222
二人	199	2.584962500721156	4.1968138109231425	0.4420654911838791
唤做	199	7.066089190457772	2.917285308331188	0.2918287937743191
安排	198	8.20945336562895	4.22131103561222	0.1511111111111111
